Period,ConsConf_Change,CompLead_Change,BusConf_Change,Emp_Change,InvToSales_Change,PMI_Change,SP500_Change,MfgOrdDur_Change,BldgPerm_Change,Sales_Change,FedFunds_Change,DJI_Change,Payroll_Change,PersCons_Change
16-Jun,0.0012,-0.0001,0.0030,-0.0018,-0.0141,0.0270,0.0306,-0.0328,0.0700,0.0214,0.0556,0.0138,0.0166,0.0176
16-Jul,-0.0005,0.0000,0.0009,0.0017,-0.0141,0.0354,0.0353,-0.0392,0.0103,0.0127,0.0541,0.0371,0.0021,0.0118
16-Aug,-0.0027,0.0003,-0.0017,0.0013,-0.0071,-0.0370,0.0510,-0.0033,0.0187,0.0095,0.0811,0.0345,-0.0006,0.0105
16-Sep,-0.0027,0.0010,-0.0019,0.0034,0.0000,-0.0320,0.0354,0.0420,0.0645,0.0044,0.0526,0.0211,-0.0007,0.0117
16-Oct,-0.0005,0.0020,0.0006,0.0030,-0.0143,-0.0133,-0.0027,0.0623,0.0936,0.0128,0.0256,-0.0157,0.0122,0.0122
16-Nov,0.0039,0.0030,0.0048,0.0032,-0.0071,0.0769,-0.0027,0.0075,0.0458,0.0150,0.0250,0.0393,0.0135,0.0127
16-Dec,0.0074,0.0037,0.0074,0.0024,-0.0214,0.0621,0.0412,0.0152,-0.0031,0.0203,0.3500,0.0794,0.0074,0.0118
17-Jan,0.0081,0.0036,0.0084,0.0022,-0.0072,0.0790,0.0616,-0.0400,0.0117,0.0174,0.6250,0.0949,-0.0185,0.0118
17-Feb,0.0047,0.0029,0.0073,0.0031,-0.0144,0.0846,0.0762,0.0196,-0.0287,0.0127,0.6098,0.0883,-0.0144,0.0098
17-Mar,0.0011,0.0018,0.0038,0.0067,0.0000,0.0457,0.0535,0.0408,-0.0047,0.0026,0.4630,0.0456,-0.0083,0.0093
17-Apr,-0.0008,0.0007,-0.0004,0.0067,0.0000,-0.0214,0.0368,0.0294,-0.0554,0.0030,0.3846,0.0542,0.0187,0.0092
17-May,-0.0014,0.0000,-0.0020,0.0029,0.0000,-0.0485,0.0251,0.0155,-0.0418,0.0052,0.3788,0.0094,0.0173,0.0103
17-Jun,-0.0023,-0.0003,0.0001,0.0004,0.0073,0.0105,0.0267,0.0554,0.0119,0.0031,0.3165,0.0332,0.0171,0.0068
17-Jul,-0.0024,-0.0002,0.0033,0.0006,0.0073,0.0274,0.0308,-0.0087,0.0016,0.0044,0.2778,0.0454,0.0023,0.0072
17-Aug,-0.0007,0.0002,0.0058,0.0017,0.0073,0.0710,0.0372,0.0118,0.0890,0.0036,0.2747,0.0447,-0.0013,0.0064
17-Sep,0.0021,0.0007,0.0060,0.0051,-0.0145,0.0519,0.0183,-0.0280,-0.0392,0.0256,0.1058,0.0494,-0.0031,0.0152
