Period,ConsConf_Change,CompLead_Change,BusConf_Change,Emp_Change,InvToSales_Change,PMI_Change,SP500_Change,MfgOrdDur_Change,BldgPerm_Change,Sales_Change,FedFunds_Change,DJI_Change,Payroll_Change,PersCons_Change
18-10-16,0.00,0.00,0.00,0.00,-0.01,0.01,-0.01,0.06,0.01,0.01,0.00,-0.01,0.01,0.00
18-11-16,0.00,0.00,0.00,0.00,0.01,0.03,0.01,-0.05,-0.02,0.00,0.03,0.05,0.00,0.00
18-12-16,0.00,0.00,0.00,0.00,-0.01,0.03,0.04,0.00,0.01,0.01,0.32,0.03,0.00,0.01
18-01-17,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.03,0.00,0.20,0.01,-0.02,0.00
18-02-17,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,-0.06,0.00,0.02,0.05,0.01,0.00
18-03-17,0.00,0.00,0.00,0.00,0.00,-0.01,0.02,0.02,0.03,0.00,0.20,-0.01,0.00,0.01
18-04-17,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,-0.01,-0.03,0.00,0.14,0.01,0.01,0.00
18-05-17,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.05,0.00,0.01,0.00,0.01,0.00
18-06-17,0.00,0.00,0.00,0.00,0.01,0.05,0.02,0.06,0.09,0.00,0.14,0.02,0.00,0.00
18-07-17,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,-0.07,-0.04,0.01,0.11,0.03,-0.01,0.00
18-08-17,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.02,0.03,0.00,0.01,0.00,0.00,0.00
18-09-17,0.00,0.00,0.00,0.00,-0.01,0.03,0.00,0.02,-0.04,0.02,-0.01,0.02,0.00,0.01
